Name
Belec
Dragowski
Terracciano
Chiellini
Spinazzola
Karsdorp
Nuytinck
Danilo
Smalling
Ibanez
Yoshida
Zielinski
Strootman
Luis Alberto
Ruiz
Castrovilli
Thorsby
Malinovskyi
Arslan
Muriel
Berardi
Quagliarella
Pedro
Barrow
Rafael Leao
